Name,DOB,Country,Matches,PlayerID,Overs,Average,Wickets,Economy,Strike Rate,Top,Middle,Bottom
"Dassanayake, Pubudu B",11/07/1970,Sri Lanka,11,1970,-1,13.07,-1,-1,-1,-1,-1,-1
"Davis, Heath Te-Ihi-O-Te-Ra",30/11/1971,New Zealand,5,1992,168.2,29.35,0,2.96,59.41,11.8,52.9,35.3
"Davis, Simon P",08/11/1959,Australia,1,418,25,-1,0,2.8,-1,-1,-1,-1
"Davis, Winston W",18/09/1958,West Indies,15,419,462.1,32.71,0,3.18,61.62,26.7,40,33.3
"Dawson, Alan C",27/11/1969,South Africa,2,2663,42,23.4,0,2.79,50.4,40,20,40
"Dawson, Richard K J",04/08/1980,England,7,3002,186,61.55,0,3.64,101.45,36.4,36.4,27.3
"De Alwis, Ronald G",15/02/1959,Sri Lanka,11,422,-1,8,-1,-1,-1,-1,-1,-1
"de Bruyn, Zander",05/07/1975,South Africa,3,3235,36,30.67,0,2.56,72,0,100,0
"De Freitas, Phillip A J",18/02/1966,England,44,425,1639.4,33.57,0,2.87,70.27,39.3,35.7,25
"De Groen, Richard P",05/08/1962,New Zealand,5,426,176.4,45.91,0,2.86,96.36,27.3,63.6,9.1
"de Kock, Quinton",17/12/1992,South Africa,6,3988,-1,33,-1,-1,-1,-1,-1,-1
"de Lange, Marchant",13/10/1990,South Africa,2,3927,74.4,30.78,0,3.71,49.78,22.2,33.3,44.4
"De Mel, Ashantha L F",09/05/1959,Sri Lanka,17,427,586.2,36.95,0,3.72,59.63,45.8,39,15.3
"De Saram, Samantha I",02/09/1973,Sri Lanka,4,2196,-1,23.4,-1,-1,-1,-1,-1,-1
"de Silva, Ashley M",03/12/1963,Sri Lanka,3,428,-1,3.33,-1,-1,-1,-1,-1,-1
"De Silva, Ellawalakankanamage",28/03/1956,Sri Lanka,10,430,388,129,0,2.66,291,37.5,50,12.5
"de Silva, Karunakalage S C",11/01/1971,Sri Lanka,8,2096,264.1,55.56,0,3.37,99.06,43.8,18.8,37.5
"de Silva, Pinnaduwage A",17/10/1965,Sri Lanka,93,432,432.3,41.66,0,2.79,89.48,27.6,51.7,20.7
"de Silva, Sanjeewa K L",29/07/1975,Sri Lanka,3,2120,-1,18,-1,-1,-1,-1,-1,-1
"de Silva, Weddikkara R S",11/10/1979,Sri Lanka,3,3027,72,19,0,2.9,39.27,36.4,36.4,27.3
"de Villiers, Abraham B",17/02/1984,South Africa,103,3241,34,52,0,3.06,102,0,0,100
"De Villiers, Petrus S",13/10/1964,South Africa,18,433,800.5,24.25,2,2.57,56.53,45.9,22.4,31.8
"de Wet, Friedel",26/06/1980,South Africa,2,3744,71,31,0,2.62,71,50,33.3,16.7
"Dekker, Mark H",05/12/1969,Zimbabwe,14,1983,10,-1,0,1.5,-1,-1,-1,-1
"Deonarine, Narsingh",08/08/1983,West Indies,18,3276,250.3,29.71,0,2.85,62.63,25,54.2,20.8
"Dhanraj, Rajindra",06/02/1969,West Indies,4,2008,161.1,74.38,0,3.69,120.88,0,62.5,37.5
"Dharmasena, Handunettige D P K",24/04/1971,Sri Lanka,31,1971,1156.3,42.32,0,2.52,100.57,31.9,40.6,27.5
"Dhawan, Shikhar",05/12/1985,India,19,3832,9,-1,0,2,-1,-1,-1,-1
"Dhoni, Mahendra S",07/07/1981,India,90,3243,16,-1,0,4.19,-1,-1,-1,-1
"Dickwella, D P D Niroshan",23/06/1993,Sri Lanka,4,4316,-1,20.57,-1,-1,-1,-1,-1,-1
"Dighe, Sameer S",08/10/1968,India,6,2670,-1,15.67,-1,-1,-1,-1,-1,-1
"Dilley, Graham R",18/05/1959,England,41,450,1365.2,29.76,0,3.01,59.36,41.3,32.6,26.1
"Dillon, Merwyn V",05/06/1974,West Indies,38,2097,1450.4,33.57,0,3.03,66.44,35.1,38.2,26.7
"Dilshan, Tillekeratne M",14/10/1976,Sri Lanka,87,2197,564.1,43.87,0,3.03,86.79,25.6,41,33.3
"Dippenaar, Hendrik H",14/06/1977,South Africa,38,2190,2,-1,0,0.5,-1,-1,-1,-1
"Dodemaide, Anthony I C",05/10/1963,Australia,10,454,364,28.03,0,2.62,64.24,29.4,41.2,29.4
"Doherty, Xavier J",22/11/1982,Australia,4,3834,153,78.29,0,3.58,131.14,14.3,28.6,57.1
"Donald, Allan A",20/10/1966,South Africa,72,458,2586.3,22.25,3,2.84,47.03,39.1,34.8,26.1
"Doolan, Alexander J",29/11/1985,Australia,4,4265,-1,23.88,-1,-1,-1,-1,-1,-1
"Doull, Simon B",06/08/1969,New Zealand,32,464,1008.5,29.31,0,2.85,61.77,45.9,35.7,18.4
"Dowlin, Travis M",24/02/1977,West Indies,6,3710,1,-1,0,3,-1,-1,-1,-1
"Downton, Paul R",04/04/1957,England,30,468,-1,19.63,-1,-1,-1,-1,-1,-1
"Dowrich, Shane O",30/10/1991,West Indies,2,4427,-1,25.5,-1,-1,-1,-1,-1,-1
"Drakes, Vasbert C",05/08/1969,West Indies,12,2672,436.1,41.27,0,3.12,79.3,45.5,36.4,18.2
"Dravid, Rahul",11/01/1973,India,164,2060,20,39,0,1.95,120,0,100,0
"Drum, Christopher J",10/07/1974,New Zealand,5,2673,134.2,30.13,0,3.59,50.38,43.8,37.5,18.8
"du Plessis, Francois",13/07/1984,South Africa,27,3847,13,-1,0,5.31,-1,-1,-1,-1
"Duffin, Terrence",20/03/1982,Zimbabwe,2,3324,-1,20,-1,-1,-1,-1,-1,-1
"Dujon, Peter J L",28/05/1956,West Indies,81,477,-1,31.94,-1,-1,-1,-1,-1,-1
"Duminy, Jean-Paul",14/04/1984,South Africa,33,3208,382,37.69,0,3.55,63.67,36.1,38.9,25
"Dunusinghe, Chamara I",19/10/1970,Sri Lanka,5,2022,-1,16,-1,-1,-1,-1,-1,-1
"Dyer, Gregory C",16/03/1959,Australia,6,487,-1,21.83,-1,-1,-1,-1,-1,-1
"Ealham, Mark A",27/08/1969,England,8,2061,176.4,28.71,0,2.76,62.35,0,58.8,41.2
"Ebrahim, Dion D",07/08/1980,Zimbabwe,29,2961,-1,22.7,-1,-1,-1,-1,-1,-1
"Edgar, Bruce A",23/11/1956,New Zealand,39,493,3,-1,0,1,-1,-1,-1,-1
"Edwards, Fidel H",06/02/1982,West Indies,55,3125,1601.1,37.87,0,3.9,58.22,39.4,35.8,24.8
"Edwards, Graham N",27/05/1955,New Zealand,8,497,-1,25.13,-1,-1,-1,-1,-1,-1
"Edwards, Kirk A",03/11/1984,West Indies,17,3853,4,-1,0,4.75,-1,-1,-1,-1
Ehsan Adil,15/03/1993,Pakistan,3,4003,80.1,52.6,0,3.28,96.2,60,40,0
Ehsanul Haque,01/12/1979,Bangladesh,1,3024,3,-1,0,6,-1,-1,-1,-1
"Eksteen, Clive E",02/12/1966,South Africa,7,1973,256,61.75,0,1.93,192,0,75,25
"Elgar, Dean",11/06/1987,South Africa,22,3968,128.1,42.91,0,3.68,69.91,27.3,54.5,18.2
Elias Sunny,01/01/1986,Bangladesh,4,3915,143.5,43.17,0,3.6,71.92,41.7,58.3,0
"Elliott, Grant D",21/03/1979,New Zealand,5,3541,47,35,0,2.98,70.5,0,75,25
"Elliott, Matthew T G",28/09/1971,Australia,21,2075,2,-1,0,2,-1,-1,-1,-1
"Ellison, Richard M",21/09/1959,England,11,508,377.2,29.94,1,2.78,64.69,25.7,42.9,31.4
"Elworthy, Steven",23/02/1965,South Africa,4,2147,144.3,34.15,0,3.07,66.69,46.2,46.2,7.7
"Emery, Philip A",25/06/1964,Australia,1,2004,-1,-1,-1,-1,-1,-1,-1,-1
Enamul Haque,05/12/1986,Bangladesh,15,3139,591.3,40.61,1,3.02,80.66,25,45.5,29.5
Enamul Haque,27/02/1966,Bangladesh,10,2677,371.4,57.06,0,2.76,123.89,22.2,50,27.8
"Eranga, R M Shaminda",23/06/1986,Sri Lanka,16,3880,561.5,34.88,0,3.23,64.83,36.5,34.6,28.8
"Ervine, Craig R",19/08/1985,Zimbabwe,7,3780,-1,23.83,-1,-1,-1,-1,-1,-1
"Ervine, Sean M",06/12/1982,Zimbabwe,5,2990,95,43.11,0,4.08,63.33,44.4,33.3,22.2
"Evans, Craig Neil",29/11/1969,Zimbabwe,3,2065,9,-1,0,3.89,-1,-1,-1,-1
"Ewing, Gavin M",21/10/1981,Zimbabwe,3,3138,71,130,0,3.66,213,0,50,50
Fahim Muntasir,01/11/1980,Bangladesh,3,2997,96,68.4,0,3.56,115.2,40,40,20
"Fairbrother, Neil H",09/09/1963,England,10,520,2,-1,0,4.5,-1,-1,-1,-1
Faisal Hossain,01/01/1980,Bangladesh,1,3175,-1,3.5,-1,-1,-1,-1,-1,-1
Faisal Iqbal,30/12/1981,Pakistan,26,2261,1,-1,0,7,-1,-1,-1,-1
Farhan Adil,25/09/1977,Pakistan,1,3133,-1,16.5,-1,-1,-1,-1,-1,-1
Farrukh Zaman,02/04/1956,Pakistan,1,1963,10,-1,0,1.13,-1,-1,-1,-1
"Faulkner, James P",29/04/1990,Australia,1,3930,27.4,16.33,0,3.54,27.67,33.3,33.3,33.3
Fawad Alam,08/10/1985,Pakistan,3,3468,-1,41.67,-1,-1,-1,-1,-1,-1
Fazl-E-Akbar,20/10/1980,Pakistan,5,2130,147,46.45,0,3.48,80.18,63.6,27.3,9.1
"Fernando, Conganige R D",19/07/1979,Sri Lanka,40,2223,1030.1,37.84,0,3.67,61.81,49,32,19
"Fernando, Ellukutige R N S",19/12/1955,Sri Lanka,5,535,-1,11.2,-1,-1,-1,-1,-1,-1
"Fernando, Kandage H R K",14/10/1979,Sri Lanka,2,3033,39,27,0,2.77,58.5,75,25,0
"Fernando, Kandana A D M",10/05/1979,Sri Lanka,2,3146,21,107,0,5.1,126,100,0,0
"Fernando, Thudellage C B",22/08/1980,Sri Lanka,9,2992,211.4,44,0,3.74,70.56,22.2,50,27.8
"Ferreira, Neil",03/06/1979,Zimbabwe,1,3293,-1,10.5,-1,-1,-1,-1,-1,-1
"Finn, Steven T",04/04/1989,England,27,3775,826.3,27.96,0,3.62,46.35,31.8,42.1,26.2
"Fleming, Damien W",24/04/1970,Australia,20,2003,688.1,25.89,0,2.82,55.05,37.3,37.3,25.3
"Fleming, Stephen P",01/04/1973,New Zealand,111,1977,-1,40.07,-1,-1,-1,-1,-1,-1
"Flintoff, Andrew",06/12/1977,England,79,2148,2491.5,32.79,0,2.97,66.15,30.5,45.1,24.3
"Flower, Andrew",28/04/1968,Zimbabwe,63,549,0.3,-1,0,8,-1,-1,-1,-1
"Flower, Grant W",20/12/1970,Zimbabwe,67,550,563,61.48,0,2.73,135.12,28,40,32
"Flynn, Daniel R",16/04/1985,New Zealand,24,3533,1,-1,0,0,-1,-1,-1,-1
"Foster, James S",15/04/1980,England,7,2986,-1,25.11,-1,-1,-1,-1,-1,-1
"Foster, Neil A",06/05/1962,England,29,556,1043.3,32.85,1,2.77,71.15,45.5,37.5,17
"Fowler, Graeme",20/04/1957,England,21,559,3,-1,0,3.67,-1,-1,-1,-1
"Franklin, James E C",07/11/1980,New Zealand,31,2263,794.3,33.98,0,3.51,58.13,30.5,42.7,26.8
"Franklin, Trevor J",18/03/1962,New Zealand,21,566,-1,23,-1,-1,-1,-1,-1,-1
"Fraser, Angus R C",08/08/1965,England,46,567,1812.4,27.32,2,2.67,61.45,28.2,41.8,29.9
"French, Bruce N",13/08/1959,England,16,574,-1,18.12,-1,-1,-1,-1,-1,-1
"Friend, Travis J",07/01/1981,Zimbabwe,13,2690,333.2,43.6,0,3.27,80,52,32,16
"Fudadin, Assad B",01/08/1985,West Indies,3,3954,5,-1,0,2.2,-1,-1,-1,-1
"Fulton, Peter G",01/02/1979,New Zealand,23,3233,-1,25.45,-1,-1,-1,-1,-1,-1
"Gabriel, Shannon T",28/04/1988,West Indies,16,3952,365.3,37.68,0,3.5,64.5,29.4,41.2,29.4
"Gallage, Indika S",22/11/1975,Sri Lanka,1,2195,25,-1,0,3.08,-1,-1,-1,-1
"Gallian, Jason E R",25/06/1971,England,3,2026,14,-1,0,4.43,-1,-1,-1,-1
"Gambhir, Gautam",14/10/1981,India,56,3107,2,-1,0,2,-1,-1,-1,-1
"Gandhi, Devang J",06/09/1971,India,4,2186,-1,34,-1,-1,-1,-1,-1,-1
"Ganesh, Doddanarasiah",30/06/1973,India,4,2087,76.5,57.4,0,3.74,92.2,60,40,0
"Ganga, Darren",14/01/1979,West Indies,48,2162,31,106,0,3.42,186,0,100,0
"Ganguly, Sourav C",08/07/1972,India,113,2059,519.3,52.53,0,3.24,97.41,34.4,37.5,28.1
"Garrick, Leon V",11/11/1976,West Indies,1,2967,-1,13.5,-1,-1,-1,-1,-1,-1
"Gatting, Michael W",06/06/1957,England,79,593,125,79.25,0,2.53,188,0,75,25
"Gayle, Christopher H",21/09/1979,West Indies,103,2217,1184.5,42.74,0,2.63,97.38,26,31.5,42.5
"George, Peter R",16/10/1986,Australia,1,3825,28,38.5,0,2.75,84,0,50,50
"Germon, Lee K",04/11/1968,New Zealand,12,2037,-1,21.22,-1,-1,-1,-1,-1,-1
"Gibbs, Herschelle H",23/02/1974,South Africa,90,2080,1,-1,0,4,-1,-1,-1,-1
"Gibson, Ottis D",16/03/1969,West Indies,2,2025,78.4,91.67,0,3.5,157.33,66.7,0,33.3
"Giddins, Edward S H",20/07/1971,England,4,2184,74,20,0,3.24,37,16.7,58.3,25
"Gilbert, David R",29/12/1960,Australia,9,610,274.3,52.69,0,3.07,102.94,62.5,18.8,18.8
"Gilchrist, Adam C",14/11/1971,Australia,96,2192,-1,47.61,-1,-1,-1,-1,-1,-1
"Giles, Ashley F",19/03/1973,England,54,2146,2030,40.6,0,2.86,85.17,30.8,42,27.3
"Gillespie, Jason N",19/04/1975,Australia,71,2082,2372.2,26.14,0,2.85,54.96,37.5,38.6,23.9
"Gillespie, Mark R",17/10/1979,New Zealand,5,3452,144.4,28.68,0,4.36,39.45,9.1,59.1,31.8
"Gillespie, Stuart R",02/03/1957,New Zealand,1,612,27,79,0,2.93,162,100,0,0
"Goodwin, Murray W",11/12/1972,Zimbabwe,19,2125,19.5,-1,0,3.48,-1,-1,-1,-1
"Goonasekera, Yohan",08/11/1957,Sri Lanka,2,628,-1,12,-1,-1,-1,-1,-1,-1
"Gough, Darren",18/09/1970,England,58,1995,1970.1,28.4,0,3.3,51.62,38.4,33.2,28.4
"Gower, David I",01/04/1957,England,117,634,6,20,0,3.33,36,0,0,100
"Gray, Anthony H",23/05/1963,West Indies,5,643,148,17.14,0,2.55,40.36,22.7,45.5,31.8
"Greatbatch, Mark J",11/12/1963,New Zealand,41,645,1,-1,0,0,-1,-1,-1,-1
"Greenidge, Alvin E",20/08/1956,West Indies,6,647,-1,22.2,-1,-1,-1,-1,-1,-1
"Greig, Ian A",08/12/1955,England,2,1988,31.2,28.5,0,3.64,47,25,25,50
"Griffith, Adrian F G",19/11/1971,West Indies,14,2088,-1,24.54,-1,-1,-1,-1,-1,-1
"Gripper, Trevor R",28/12/1975,Zimbabwe,20,2189,132.1,84.83,0,3.85,132.17,33.3,66.7,0
"Gunawardene, Dihan A",26/05/1977,Sri Lanka,6,2175,-1,16.45,-1,-1,-1,-1,-1,-1
"Guneratne, Roshan P W",26/01/1962,Sri Lanka,1,673,17,-1,0,4.94,-1,-1,-1,-1
"Guptill, Martin J",30/09/1986,New Zealand,38,3633,58.2,53,0,4.54,70,60,20,20
Gursharan Singh,08/03/1963,India,1,1606,-1,18,-1,-1,-1,-1,-1,-1
"Gurusinha, Asanka P",16/09/1966,Sri Lanka,41,679,234.4,34.05,0,2.9,70.4,25,50,25
"Habib, Aftab",07/02/1972,England,2,2181,-1,8.67,-1,-1,-1,-1,-1,-1
Habibul Bashar,17/08/1972,Bangladesh,50,2235,47,-1,0,4.62,-1,-1,-1,-1
"Haddin, Bradley J",23/10/1977,Australia,66,2707,-1,32.99,-1,-1,-1,-1,-1,-1
"Hales, Alexander D",03/01/1989,England,1,3887,-1,18,-1,-1,-1,-1,-1,-1
"Hall, Andrew J",31/07/1975,South Africa,21,2710,500.1,35.93,0,3.23,66.69,22.2,33.3,44.4
"Hamilton, Gavin M",16/09/1974,England,1,2199,15,-1,0,4.2,-1,-1,-1,-1
Hannan Sarkar,01/12/1982,Bangladesh,17,3026,-1,20.06,-1,-1,-1,-1,-1,-1
Harbhajan Singh,03/07/1980,India,103,2138,4763.2,32.46,5,2.84,68.54,25.4,38.4,36.2
"Harmer, Simon R",10/02/1989,South Africa,5,4372,191.2,29.4,0,3.07,57.4,30,40,30
"Harmison, Stephen J",23/10/1978,England,63,3037,2229.1,31.82,1,3.23,59.18,31,36.7,32.3
"Harper, Roger A",17/03/1963,West Indies,25,707,602.3,28.07,0,2.14,78.59,26.1,47.8,26.1
"Harris, Christopher Z",20/11/1969,New Zealand,23,708,426.4,73.13,0,2.74,160,31.3,56.3,12.5
"Harris, Paul L",02/11/1978,South Africa,37,3453,1468.1,37.87,0,2.66,85.52,29.1,45.6,25.2
"Harris, Ryan J",10/10/1979,Australia,27,3638,956,23.52,0,2.78,50.76,35.4,37.2,27.4
"Hart, Matthew N",16/05/1972,New Zealand,14,1975,514.2,49.59,0,2.8,106.41,31,31,37.9
"Hart, Robert G",02/12/1974,New Zealand,11,3020,-1,16.25,-1,-1,-1,-1,-1,-1
"Hartland, Blair R",22/10/1966,New Zealand,9,717,-1,16.83,-1,-1,-1,-1,-1,-1
Harvinder Singh,23/12/1977,India,3,2133,45.3,46.25,0,4.07,68.25,50,0,50
Hasan Raza,01/03/1982,Pakistan,7,2071,1,-1,0,1,-1,-1,-1,-1
Hasibul Hussain,03/06/1977,Bangladesh,5,2241,130,95.17,0,4.39,130,83.3,16.7,0
"Haslam, Mark J",26/09/1972,New Zealand,4,722,82.1,122.5,0,2.98,246.5,0,0,100
"Hastings, John W",04/11/1985,Australia,1,3831,39,153,0,3.92,234,0,100,0
"Hathurusinghe, Upul C",13/09/1968,Sri Lanka,26,728,327,46.41,0,2.41,115.41,47.1,41.2,11.8
"Hauritz, Nathan M",18/10/1981,Australia,17,3016,700,34.98,0,3.15,66.67,27,34.9,38.1
"Hayden, Matthew L",29/10/1971,Australia,103,1976,9,-1,0,4.44,-1,-1,-1,-1
"Haynes, Desmond L",15/02/1956,West Indies,116,734,3,8,0,2.67,18,0,0,100
"Hayward, Mornantau",06/03/1977,South Africa,16,2202,470.1,29.8,0,3.42,52.24,37,33.3,29.6
"Hazlewood, Josh R",08/01/1991,Australia,14,3799,482.5,24.13,0,3,48.28,31.7,40,28.3
"Headley, Dean W",27/01/1970,England,15,2101,504.2,27.85,0,3.31,50.43,33.3,40,26.7
"Healy, Ian A",30/04/1964,Australia,119,740,-1,27.4,-1,-1,-1,-1,-1,-1
"Hegg, Warren K",23/02/1968,England,2,2160,-1,7.5,-1,-1,-1,-1,-1,-1
"Henderson, Claude W",14/06/1972,South Africa,7,2985,327,42.18,0,2.84,89.18,31.8,45.5,22.7
"Henriques, Moises C",01/02/1987,Australia,3,3680,53,77.5,0,2.92,159,0,0,100
"Henry, Matthew J",14/12/1991,New Zealand,3,4257,128.1,49.8,0,3.89,76.9,20,50,30
"Herath, H M Rangana",19/03/1978,Sri Lanka,67,2185,3187.2,29.88,5,2.78,64.39,23.2,45.8,31
"Hettiarachchi, Dinuk",01/10/1980,Sri Lanka,1,2957,27,20.5,0,1.52,81,100,0,0
"Hick, Graeme A",23/05/1966,England,65,758,509.3,56.78,0,2.56,132.91,47.8,43.5,8.7
"Hilditch, Andrew M J",20/05/1956,Australia,18,761,-1,31.56,-1,-1,-1,-1,-1,-1
"Hilfenhaus, Benjamin W",15/03/1983,Australia,27,3455,1013,28.51,0,2.79,61.39,45.5,27.3,27.3
"Hinds, Ryan O",17/02/1981,West Indies,15,3004,290.3,62.14,0,2.99,124.5,21.4,57.1,21.4
"Hinds, Wavell W",07/09/1976,West Indies,45,2216,187.1,39.33,0,3.15,74.87,33.3,40,26.7
"Hirwani, Narendra D",18/10/1968,India,17,770,716.2,30.11,1,2.77,65.12,28.8,54.5,16.7
"Hodge, Bradley J",29/12/1974,Australia,6,3330,2,-1,0,4,-1,-1,-1,-1
"Hogan, Thomas G",23/09/1956,Australia,7,777,239.2,47.07,0,2.95,95.73,26.7,40,33.3
"Hogg, George B",06/02/1971,Australia,7,2068,254,54.88,0,3.67,89.65,17.6,58.8,23.5
"Hoggard, Matthew J",31/12/1976,England,67,2224,2318.1,30.5,1,3.26,56.08,39.1,35.9,25
"Holder, Jason O",05/11/1991,West Indies,12,3998,300.5,38.29,0,2.67,85.95,33.3,52.4,14.3
"Holder, Roland I C",22/12/1967,West Indies,11,2093,-1,25.33,-1,-1,-1,-1,-1,-1
"Hollioake, Adam J",05/09/1971,England,4,2105,24,33.5,0,2.79,72,0,100,0
"Hollioake, Ben C",11/11/1977,England,2,2106,42,49.75,0,4.74,63,75,25,0
"Hondo, Douglas T",07/07/1979,Zimbabwe,9,2984,247.4,36.86,0,3.13,70.76,52.4,38.1,9.5
"Hookes, David W",03/05/1955,Australia,23,790,16,41,0,2.56,96,0,0,100
"Hooper, Carl L",15/12/1966,West Indies,102,791,2299,49.43,0,2.45,121,33.3,42.1,24.6
"Hope, Shai D",10/10/1993,West Indies,5,4417,-1,16.2,-1,-1,-1,-1,-1,-1
"Hopkins, Gareth J",24/11/1976,New Zealand,4,3177,-1,11.83,-1,-1,-1,-1,-1,-1
"Horne, Matthew J",05/02/1970,New Zealand,35,2091,11,-1,0,2.36,-1,-1,-1,-1
"Horne, Philip A",21/01/1960,New Zealand,4,797,-1,10.14,-1,-1,-1,-1,-1,-1
"Houghton, David L",23/06/1957,Zimbabwe,22,801,0.5,-1,0,0,-1,-1,-1,-1
"How, Jamie M",19/05/1981,New Zealand,19,3336,2,-1,0,2,-1,-1,-1,-1
"Huckle, Adam G",21/09/1971,Zimbabwe,8,2109,261.2,34.88,1,3.34,62.72,20,56,24
"Hudson, Andrew C",17/03/1965,South Africa,35,809,-1,33.45,-1,-1,-1,-1,-1,-1
"Hughes, Mervyn G",23/11/1961,Australia,53,811,2047.3,28.38,1,2.94,57.95,32.5,34.9,32.5
"Hughes, Phillip J",30/11/1988,Australia,26,3647,-1,32.66,-1,-1,-1,-1,-1,-1
Humayun Farhat,24/01/1981,Pakistan,1,2958,-1,27,-1,-1,-1,-1,-1,-1
"Hussain, Nasser",28/03/1968,England,96,823,5,-1,0,3,-1,-1,-1,-1
"Hussey, Michael E K",27/05/1975,Australia,79,3160,98,43.71,0,3.12,84,42.9,28.6,28.6
Iftikhar Anjum,01/12/1980,Pakistan,1,3231,14,-1,0,4.43,-1,-1,-1,-1
"Igglesden, Alan P",08/10/1964,England,3,832,92.3,54.83,0,3.56,92.5,50,50,0
Ijaz Ahmed,20/09/1968,Pakistan,60,15,30,38.5,0,2.57,90,50,50,0
Ijaz Ahmed,02/02/1969,Pakistan,2,2034,4,-1,0,1.5,-1,-1,-1,-1
Ijaz Faqih,24/03/1956,Pakistan,5,523,89,74.75,0,3.36,133.5,100,0,0
"Illingworth, Richard K",23/08/1963,England,9,835,247.3,32.37,0,2.48,78.16,26.3,36.8,36.8
"Ilott, Mark C",27/08/1970,England,5,836,173.4,45.17,0,3.12,86.83,25,50,25
Imran Farhat,20/05/1982,Pakistan,40,2260,71.1,94.67,0,3.99,142.33,33.3,33.3,33.3
Imran Khan,14/07/1988,Pakistan,7,4333,174.3,28.1,0,3.22,52.35,30,40,30
Imran Nazir,16/12/1981,Pakistan,8,2174,-1,32.85,-1,-1,-1,-1,-1,-1
Imran Tahir,27/03/1979,South Africa,20,3850,654.1,40.25,0,3.51,68.86,21.1,36.8,42.1
Imrul Kayes,02/02/1987,Bangladesh,24,3617,4,-1,0,3,-1,-1,-1,-1
"Ingram, Peter J",25/10/1978,New Zealand,2,3754,-1,15.25,-1,-1,-1,-1,-1,-1
Inzamam-ul-Haq,03/03/1970,Pakistan,120,1794,1.3,-1,0,5.33,-1,-1,-1,-1
"Irani, Ronald C",26/10/1971,England,3,2057,32,37.33,0,3.5,64,33.3,66.7,0
Irfan Fazil,11/02/1981,Pakistan,1,2215,8,32.5,0,8.13,24,50,50,0
"Jack, Steven D",04/08/1970,South Africa,2,2010,77,24.5,0,2.55,57.75,12.5,50,37.5
"Jacobs, Ridley D",26/11/1967,West Indies,65,2154,-1,28.32,-1,-1,-1,-1,-1,-1
"Jadeja, Alaysinhji D",01/02/1971,India,15,854,-1,26.18,-1,-1,-1,-1,-1,-1
"Jadeja, Ravindra A",06/12/1988,India,16,3644,711.3,23.76,0,2.27,62.78,27.9,42.6,29.4
"Jaffer, Wasim",16/02/1978,India,31,2208,11,9,0,1.64,33,0,0,100
"Jaggernauth, Amit S",16/11/1983,West Indies,1,3548,23,96,0,4.17,138,0,100,0
Jahurul Islam,12/12/1986,Bangladesh,7,3777,-1,26.69,-1,-1,-1,-1,-1,-1
Jalaluddin,12/06/1959,Pakistan,6,859,199.3,48.82,0,2.69,108.82,36.4,27.3,36.4
"James, Stephen P",07/09/1967,England,2,2145,-1,17.75,-1,-1,-1,-1,-1,-1
"James, Wayne Robert",27/08/1965,Zimbabwe,4,1993,-1,15.25,-1,-1,-1,-1,-1,-1
"Jaques, Philip A",03/05/1979,Australia,11,3335,-1,47.47,-1,-1,-1,-1,-1,-1
"Jarvis, Kyle M",16/02/1989,Zimbabwe,8,3733,261.3,31.73,0,3.64,52.3,50,26.7,23.3
"Jarvis, Malcolm P",06/12/1955,Zimbabwe,5,866,212.1,35.73,0,1.85,115.73,45.5,45.5,9.1
"Jarvis, Paul W",29/06/1965,England,9,867,318.4,45.95,0,3.03,91.05,28.6,38.1,33.3
Javed Miandad,12/06/1957,Pakistan,124,1169,201.4,40.12,0,2.78,86.47,35.3,35.3,29.4
Javed Omar,25/11/1976,Bangladesh,40,2733,1,-1,0,12,-1,-1,-1,-1
"Jayasekera, Rohan S A",07/12/1957,Sri Lanka,1,871,-1,1,-1,-1,-1,-1,-1,-1
"Jayasundera, M D Udara S",03/01/1991,Sri Lanka,2,4508,7,-1,0,6.43,-1,-1,-1,-1
"Jayasuriya, Sanath T",30/06/1969,Sri Lanka,110,872,1364.4,34.35,0,2.47,83.55,23.5,43.9,32.7
"Jayawardene, D P Mahela",27/05/1977,Sri Lanka,149,2104,98.1,51.67,0,3.16,98.17,50,33.3,16.7
